symbol,date,open,high,low,close,volume,adjusted,ticker,djia
AAPL,2020-02-25,300.950012,302.529999,286.130005,288.079987,57668400,288.079987,AAPL,1
AAPL,2020-02-26,286.529999,297.880005,286.5,292.649994,49513700,292.649994,AAPL,1
AAPL,2020-02-27,281.100006,286,272.959991,273.519989,80151400,273.519989,AAPL,1
AAPL,2020-02-28,257.26001,278.410004,256.369995,273.359985,106721200,273.359985,AAPL,1
AAPL,2020-03-02,282.279999,301.440002,277.720001,298.809998,85349300,298.809998,AAPL,1
AAPL,2020-03-03,303.670013,304,285.799988,289.320007,79868900,289.320007,AAPL,1
AAPL,2020-03-04,296.440002,303.399994,293.130005,302.73999,54794600,302.73999,AAPL,1
AAPL,2020-03-05,295.519989,299.549988,291.410004,292.920013,46893200,292.920013,AAPL,1
AAPL,2020-03-06,282,290.820007,281.230011,289.029999,56544200,289.029999,AAPL,1
AAPL,2020-03-09,263.75,278.089996,263,266.170013,71686200,266.170013,AAPL,1
AAPL,2020-03-10,277.140015,286.440002,269.369995,285.339996,71322500,285.339996,AAPL,1
AAPL,2020-03-11,277.390015,281.220001,271.859985,275.429993,63899700,275.429993,AAPL,1
AAPL,2020-03-12,255.940002,270,248,248.229996,104618500,248.229996,AAPL,1
AAPL,2020-03-13,264.890015,279.920013,252.949997,277.970001,92683000,277.970001,AAPL,1
AAPL,2020-03-16,241.949997,259.079987,240,242.210007,80605900,242.210007,AAPL,1
AAPL,2020-03-17,247.509995,257.609985,238.399994,252.860001,81014000,252.860001,AAPL,1
AAPL,2020-03-18,239.770004,250,237.119995,246.669998,75058400,246.669998,AAPL,1
AAPL,2020-03-19,247.389999,252.839996,242.610001,244.779999,67964300,244.779999,AAPL,1
AAPL,2020-03-20,247.179993,251.830002,228,229.240005,100423300,229.240005,AAPL,1
AAPL,2020-03-23,228.080002,228.5,212.610001,224.369995,84188200,224.369995,AAPL,1
AAPL,2020-03-24,236.360001,247.690002,234.300003,246.880005,71651900,246.880005,AAPL,1
AAPL,2020-03-25,250.75,258.25,244.300003,245.520004,75900500,245.520004,AAPL,1
AAPL,2020-03-26,246.520004,258.679993,246.360001,258.440002,63021800,258.440002,AAPL,1
AAPL,2020-03-27,252.75,255.869995,247.050003,247.740005,51054153,247.740005,AAPL,1
AAPL,2020-03-30,250.740005,255.520004,249.399994,254.809998,41938500,254.809998,AAPL,1
AAPL,2020-03-31,255.600006,262.48999,252,254.289993,49250500,254.289993,AAPL,1
AAPL,2020-04-01,246.5,248.720001,239.130005,240.910004,43956200,240.910004,AAPL,1
AAPL,2020-04-02,240.339996,245.149994,236.899994,244.929993,41483500,244.929993,AAPL,1
AAPL,2020-04-03,242.800003,245.699997,238.979996,241.410004,32470017,241.410004,AAPL,1
AAPL,2020-04-06,250.899994,263.109985,249.380005,262.470001,50455100,262.470001,AAPL,1
AAPL,2020-04-07,270.799988,271.700012,259,259.429993,50721800,259.429993,AAPL,1
AAPL,2020-04-08,262.73999,267.369995,261.230011,266.070007,42223800,266.070007,AAPL,1
AAPL,2020-04-09,268.700012,270.070007,264.700012,267.98999,40529100,267.98999,AAPL,1
AAPL,2020-04-13,268.309998,273.700012,265.829987,273.25,32663400,273.25,AAPL,1
AXP,2020-01-02,124.660004,126.269997,124.230003,125.849998,2708000,125.849998,AXP,1
AXP,2020-01-03,124.32,125.099998,123.940002,124.599998,2090600,124.599998,AXP,1
AXP,2020-01-06,123.370003,124.160004,123.120003,124.059998,2855200,124.059998,AXP,1
AXP,2020-01-07,123.470001,124.400002,123.360001,123.410004,2042300,123.410004,AXP,1
AXP,2020-01-08,124.050003,126.360001,123.800003,125.540001,3458200,125.540001,AXP,1
AXP,2020-01-09,126.489998,127.879997,126.389999,127.809998,2787100,127.809998,AXP,1
AXP,2020-01-10,127.580002,128.169998,126.919998,127.279999,2789200,127.279999,AXP,1
AXP,2020-01-13,127.839996,128.949997,127.629997,128.539993,3285700,128.539993,AXP,1
AXP,2020-01-14,128.619995,130.089996,128.339996,128.800003,3836000,128.800003,AXP,1
AXP,2020-01-15,128.690002,129.839996,128.449997,129.820007,3187200,129.820007,AXP,1
AXP,2020-01-16,130.5,130.929993,129.710007,130.550003,2424500,130.550003,AXP,1
AXP,2020-01-17,131.449997,131.860001,130.789993,131.520004,3659400,131.520004,AXP,1
AXP,2020-01-21,131.110001,131.820007,130.389999,130.529999,3102700,130.529999,AXP,1
AXP,2020-01-22,130.929993,132.270004,130.929993,131.490005,2483800,131.490005,AXP,1
AXP,2020-01-23,131.259995,131.570007,130.139999,131.369995,3841000,131.369995,AXP,1
AXP,2020-01-24,136.360001,138.130005,133.850006,135.110001,8612500,135.110001,AXP,1
AXP,2020-01-27,131.149994,131.979996,128.869995,130.639999,6432400,130.639999,AXP,1
AXP,2020-01-28,132,133.869995,131.139999,132.449997,3712700,132.449997,AXP,1
AXP,2020-01-29,132.479996,133.130005,131.440002,131.679993,2518400,131.679993,AXP,1
AXP,2020-01-30,130.75,133.330002,130.440002,133.220001,2428500,133.220001,AXP,1
AXP,2020-01-31,132.169998,132.25,129.380005,129.869995,3522600,129.869995,AXP,1
AXP,2020-02-03,130.550003,132.220001,130.449997,131,2721900,131,AXP,1
AXP,2020-02-04,132.880005,133.339996,131.720001,131.850006,2547500,131.850006,AXP,1
AXP,2020-02-05,133.429993,133.800003,131.289993,133.600006,4084500,133.600006,AXP,1
AXP,2020-02-06,134.160004,134.350006,133.110001,133.25,1708600,133.25,AXP,1
AXP,2020-02-07,132.570007,132.75,131.339996,131.820007,2885600,131.820007,AXP,1
AXP,2020-02-10,131.610001,132.5,131.350006,132.240005,1816500,132.240005,AXP,1
AXP,2020-02-11,133.029999,133.649994,132.320007,132.630005,1733300,132.630005,AXP,1
AXP,2020-02-12,133.389999,133.720001,132.529999,133.240005,1715400,133.240005,AXP,1
AXP,2020-02-13,133.149994,134.669998,133.059998,134.460007,3178300,134.460007,AXP,1
AXP,2020-02-14,134.710007,136.369995,134.529999,135.869995,2360300,135.869995,AXP,1
AXP,2020-02-18,135.869995,136.75,134.940002,135.600006,2428200,135.600006,AXP,1
AXP,2020-02-19,136.300003,137.419998,136.119995,136.929993,1785000,136.929993,AXP,1
AXP,2020-02-20,136.410004,138.039993,134.899994,136.580002,2541700,136.580002,AXP,1
AXP,2020-02-21,136.199997,136.270004,133.889999,134.899994,3106100,134.899994,AXP,1
AXP,2020-02-24,129.429993,130.960007,127.230003,128.190002,6329300,128.190002,AXP,1
AXP,2020-02-25,127.709999,127.989998,119.910004,120.900002,7628100,120.900002,AXP,1
AXP,2020-02-26,121.269997,122.43,118.470001,118.5,5268000,118.5,AXP,1
AXP,2020-02-27,115.900002,117.480003,112.779999,112.809998,8279800,112.809998,AXP,1
AXP,2020-02-28,109.050003,111.029999,107,109.93,11363600,109.93,AXP,1
AXP,2020-03-02,111.110001,113.989998,108.589996,113.870003,9851600,113.870003,AXP,1
AXP,2020-03-03,115.019997,116.400002,107,108.010002,9285000,108.010002,AXP,1
AXP,2020-03-04,110.25,115.790001,109.25,115.699997,7470900,115.699997,AXP,1
AXP,2020-03-05,111.620003,112.589996,109.699997,110.940002,12060600,110.940002,AXP,1
AXP,2020-03-06,105.730003,108.769997,103.790001,108.239998,9897700,108.239998,AXP,1
AXP,2020-03-09,100.870003,101.440002,96.940002,98.290001,12266300,98.290001,AXP,1
AXP,2020-03-10,101.93,103.370003,97.449997,103.300003,9793200,103.300003,AXP,1
AXP,2020-03-11,100.300003,100.959999,93.870003,95.379997,8822900,95.379997,AXP,1
AXP,2020-03-12,87.660004,89.610001,81.809998,83.529999,12206600,83.529999,AXP,1
AXP,2020-03-13,90.379997,100.080002,84.300003,99.599998,12680400,99.599998,AXP,1
AXP,2020-03-16,82.440002,93.18,80.370003,85.870003,15072400,85.870003,AXP,1
AXP,2020-03-17,87.610001,88.940002,83.220001,86.580002,10512200,86.580002,AXP,1
AXP,2020-03-18,80.019997,81.519997,67,73.75,14359300,73.75,AXP,1
AXP,2020-03-19,72.540001,77.889999,69.790001,77.07,12330400,77.07,AXP,1
AXP,2020-03-20,78.980003,82.440002,72.559998,74.120003,12208600,74.120003,AXP,1
AXP,2020-03-23,72.82,75.419998,68.120003,68.959999,8907600,68.959999,AXP,1
AXP,2020-03-24,73.510002,84.769997,71.699997,84.050003,10584000,84.050003,AXP,1
