headlines,date,type
"BREAKING: Multiple Missiles Fired From Inside Iran At Multiple Bases, Targets Inside Iraq, Reports Say",2020-01-07,topNewsHeadlines
George Lopez Responds To Backlash After Offering To Kill Trump For Iran: I Was Joking,2020-01-07,topNewsHeadlines
"6.4-quake strikes Puerto Rico, killing at least 1 amid heavy seismic activity",2020-01-07,topNewsHeadlines
"Pentagon Rules Out Striking Iranian Cultural Sites, Contradicting Trump",2020-01-07,topNewsHeadlines
Media Trashes Ricky Gervais For Telling Hollywood To <e2><80><98>F*** Off<e2><80><99>,2020-01-07,topNewsHeadlines
Delingpole: Gervais Deserves a Medal for Roasting the Golden Globes,2020-01-07,topNewsHeadlines
These women traveled 4 hours with 5 trucks of supplies to cook meals for exhausted Australian firefighters,2020-01-07,topNewsHeadlines
Soldier Henry Mayfield Jr. from Hazel Crest killed in Al-Shabab terrorist attack at Kenyan military base,2020-01-07,topNewsHeadlines
Kevin Bacon,2020-01-07,topTrendingOnSm
LSU vs Clemson,2020-01-07,topTrendingOnSm
Joe Judge,2020-01-07,topTrendingOnSm
Mike McCarthy,2020-01-07,topTrendingOnSm
#IranAttacks,2020-01-07,topTrendingOnSm
mac miller's estate just announced that a posthumous mac album is set to drop on january 17th <f0><9f><99><8f>mac was in the process of recording #circles as a companion album to <e2><80><98>swimming<e2><80><99> at the time of his passing <e2><9d><a4><ef><b8><8f>https://t.co/BNsmdWDk6a https://t.co/xVJ4Wl9bG7<e2><80><94> Genius (@Genius) ,2020-01-08,topTweets
"#BREAKING: Mac Miller's posthumous album, Circles, will be released NEXT WEEK <f0><9f><9a><a8> https://t.co/b35FPKaFGn<e2><80><94> XXL Magazine (@XXL) ",2020-01-08,topTweets
Royal watchers did all that bullying thinking it would make Harry leave Meghan and instead Harry left the royals https://t.co/WcQahN5esc<e2><80><94> Ashley K. (@AshleyKSmalls) ,2020-01-08,topTweets
Iran Attack US Airbase in Iraq! #WorldWar3 #IranMissileStrikes,2020-01-08,topNewsHeadlines
Iran retaliates for attack on general by firing missiles at U.S. forces in Iraq,2020-01-08,topNewsHeadlines
"Iran's Supreme Leader calls missile strike at bases a 'slap in the face,' warns it's not enough",2020-01-08,topNewsHeadlines
"Trump to make statement on Iranian missile strikes, assures nation <e2><80><98>All is well<e2><80><99>",2020-01-08,topNewsHeadlines
