date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
2020-04-02,PR,316,1604,1119,NA,NA,NA,NA,NA,NA,NA,2b9a9af18f7c56e17ab89f48b071e4c9afd668a9,12,NA,3039,1920,1920,72,1,0,195,30,225
2020-04-02,RI,657,4412,NA,72,NA,14,NA,6,NA,35,5534b1ed82ad8e56d32d7f50c21589687d7b1c1f,12,NA,5069,5069,5069,44,2,0,581,91,672
2020-04-02,SC,1554,5441,NA,NA,896,NA,NA,NA,NA,NA,0226337007d3996a9de9db3c450c9eae6f65f47d,31,896,6995,6995,6995,45,5,547,408,261,669
2020-04-02,SD,165,4217,0,NA,17,NA,NA,NA,NA,57,4503bb5ad5f51410838cf0a227b9d7ebeb19f745,2,17,4382,4382,4382,46,0,5,314,36,350
2020-04-02,TN,2845,31766,NA,NA,263,NA,NA,NA,NA,220,59629453e17df16d80dffa1ce35c5dcb1e94c5a2,32,263,34611,34611,34611,47,8,63,1997,162,2159
2020-04-02,TX,4669,46010,NA,196,NA,NA,NA,NA,NA,38,57c7248c663ba35f47dddb6ce04cf2c62d885de3,70,NA,50679,50679,50679,48,12,0,2150,672,2822
2020-04-02,UT,1074,20155,NA,NA,100,NA,NA,NA,NA,NA,ae818e14f015da994e59de550caffbe290355ea3,7,100,21229,21229,21229,49,0,9,0,62,62
2020-04-02,VA,1706,15883,NA,246,305,NA,145,NA,108,NA,9796a8ec0aabb4d2cffe52ed46445fae43bd50c6,41,305,17589,17589,17589,51,7,0,2023,222,2245
2020-04-02,VI,33,149,42,NA,NA,NA,NA,NA,NA,25,0361adbd93f9cc390d8b9459a98f69fdd89577c7,NA,NA,224,182,182,78,0,0,23,3,26
2020-04-02,VT,338,4711,NA,29,45,NA,NA,NA,NA,15,7510d18997abe87e7201c6841efcdf23546e72e3,17,45,5049,5049,5049,50,1,0,537,17,554
2020-04-02,WA,6962,68814,NA,NA,NA,NA,NA,NA,NA,NA,dfeb2744954a61b6e79cf4f29726e9c0793361c0,296,NA,75776,75776,75776,53,26,0,8248,369,8617
2020-04-02,WI,1730,20317,NA,NA,461,NA,NA,NA,NA,NA,834fc46c2905f903a94bd047bced3c8b65158dbe,31,461,22047,22047,22047,55,7,63,1498,180,1678
2020-04-02,WV,217,5276,NA,NA,1,NA,NA,NA,NA,NA,bf37a7e21c11c01b281839b088a20c114f1455eb,2,1,5493,5493,5493,54,1,0,892,26,918
2020-04-02,WY,150,2439,NA,NA,19,NA,NA,NA,NA,31,eb0c78de23230d157b8ec36ace867b3cb3657118,0,19,2589,2589,2589,56,0,1,221,20,241
2020-04-01,AK,133,4470,NA,NA,9,NA,NA,NA,NA,NA,28dfb9b2615a8df04f8c622ad2fb590a6f7da833,3,9,4603,4603,4603,02,0,2,876,14,890
2020-04-01,AL,1077,6697,NA,NA,NA,NA,NA,NA,NA,NA,9bd398e733a5ca5042bde1fd8ce2831fc248b0b1,26,NA,7774,7774,7774,01,13,0,399,96,495
2020-04-01,AR,584,7354,NA,56,90,NA,NA,25,32,42,eb0f33b592be1e182660fe530097a09b66431f2c,10,90,7938,7938,7938,05,2,90,1395,61,1456
2020-04-01,AS,0,3,2,NA,NA,NA,NA,NA,NA,NA,7474fa36854837781f641e06f111c2a7d8da13ac,0,NA,5,3,3,60,0,0,0,0,0
2020-04-01,AZ,1413,19645,NA,NA,NA,NA,NA,NA,NA,NA,d12f3f1c80a1844af89ea00e1077f5095cd54767,29,NA,21058,21058,21058,04,5,0,1563,124,1687
2020-04-01,CA,8155,21772,57400,1855,NA,774,NA,NA,NA,NA,36cc579cf1bdcc8118bbf943a1f3239abe7ce41b,171,NA,87327,29927,29927,06,18,0,0,673,673
2020-04-01,CO,2966,13883,NA,NA,509,NA,NA,NA,NA,NA,a3ee849de14da82b70a71d32f063b1237b9dff2b,69,509,16849,16849,16849,08,18,95,1146,339,1485
2020-04-01,CT,3557,13043,NA,766,NA,NA,NA,NA,NA,NA,4a71572b502d2295cf11a95ae6bb803e6c0ac2eb,85,NA,16600,16600,16600,09,16,0,14,429,443
2020-04-01,DC,586,3262,2,NA,NA,NA,NA,NA,NA,142,8a7aef6408b5c008467ada52ef83bc9e47d8af28,11,NA,3850,3848,3848,11,2,0,0,91,91
2020-04-01,DE,368,4015,NA,51,NA,NA,NA,NA,NA,49,ff8626da96327ed24e907f8daedaf58b38fceca9,11,NA,4383,4383,4383,10,1,0,319,49,368
2020-04-01,FL,6955,59529,1235,NA,949,NA,NA,NA,NA,NA,d9a24f33db59e2a7276a3019ee2e37f41f9bfb06,87,949,67719,66484,66484,12,10,126,5244,617,5861
2020-04-01,GA,4638,15688,NA,NA,952,NA,NA,NA,NA,NA,d6147a1075561f5d68ac98a7cb4dedb3e75bcd4c,139,952,20326,20326,20326,13,28,119,3436,709,4145
2020-04-01,GU,77,406,NA,19,NA,2,NA,NA,NA,9,c96d716269ed8689ada87b505715996beb241cff,3,NA,483,483,483,66,1,0,35,8,43
2020-04-01,HI,208,8721,NA,NA,13,NA,6,NA,NA,58,46d6cbdc0fe52b7c89e99d61bc60c6ddb4a7ab6d,1,13,8929,8929,8929,15,1,1,250,4,254
